prompt,label
Can we label the message as starred.,star_mail
Pin this message as starred.,star_mail
I need to label the message as starred.,star_mail
Can you pin the message as starred.,star_mail
Start pinning the message as starred.,star_mail
Mark this message with a star.,star_mail
I want to pin the message as starred.,star_mail
Can you mark this message with a star?,star_mail
Let's mark this message with a star.,star_mail
Begin pinning the message as starred.,star_mail
I'd like to mark this message with a star.,star_mail
Can we mark this message with a star.,star_mail
Highlight this message with a star.,star_mail
I need to mark this message with a star.,star_mail
Can you highlight this message with a star.,star_mail
Start highlighting the message with a star.,star_mail
Flag up this message with a star.,star_mail
I want to highlight the message with a star.,star_mail
Can you flag up this message with a star.,star_mail
Let's flag up the message with a star.,star_mail
Begin highlighting the message with a star.,star_mail
I'd like to flag up the message with a star.,star_mail
Can we flag up the message with a star.,star_mail
Tag up this message with a star.,star_mail
I need to flag up the message with a star.,star_mail
Can you tag up the message with a star?,star_mail
Read the next email.,read_next
Go to the next email.,read_next
Move to the next email.,read_next
Can you read the next email?,read_next
I want to hear the next email.,read_next
Let's read the next email.,read_next
Proceed to the next email.,read_next
Open the next email.,read_next
I need to hear the next email.,read_next
Can we open the next email?,read_next
Start reading the next email.,read_next
Access the next email.,read_next
I'd like to hear the next email now.,read_next
Can we access the next email?,read_next
Navigate to the next email.,read_next
I need to open the next email.,read_next
Can you access the next message?,read_next
Start opening the next message.,read_next
Get to the next message.,read_next
I want to open the next message.,read_next
Can you get to the next message?,read_next
Let's get to the next message.,read_next
Begin reading the next message.,read_next
I'd like to get to the next message.,read_next
Can we get to the next message?,read_next
Advance to the next message.,read_next
I need to get to the next message.,read_next
Can you advance to the next message?,read_next
Start advancing to the next message.,read_next
Reach out for the next message.,read_next
I want to advance to the next message.,read_next
Can you reach out for the next message?,read_next
Let's reach out for the next message.,read_next
Begin advancing to the next message.,read_next
I'd like to reach out for the next message.,read_next
Can we reach out for the next message.,read_next
"Proceed towards reading out loud, my following mail.",read_next
I need to reach out for my following mail.,read_next
"Can you proceed towards reading out loud, my following mail.",read_next
"Start proceeding towards reading out loud, my following mail.",read_next
"Move forward towards reading out loud, my following mail.",read_next
"I want you to proceed towards reading out loud, my following mail.",read_next
"Can you move forward towards reading out loud, my following mail.",read_next
"Let’s move forward towards reading out loud, my following mail.",read_next
"Begin proceeding towards reading out loud, my following mail.",read_next
"I’d like you to move forward towards reading out loud, my following mail.",read_next
"Can we move forward towards reading out loud, my following mail.",read_next
"Advance forward towards reading out loud, my following mail.",read_next
"I need you to move forward towards reading out loud, my following mail.",read_next
"Can you advance forward towards reading out loud, my following mail?",read_next
